# Intensity Error [H,H,0] [0,0,L] DeltaE [H,-H,0]
#  shape: 12x50x1x1
4.918129e-04 2.007864e-04 2.625000e-01 1.150000e+00 1.075000e+00 0.000000e+00
2.488201e-04 1.436564e-04 2.625000e-01 1.250000e+00 1.075000e+00 0.000000e+00
2.550071e-04 1.472284e-04 2.625000e-01 1.350000e+00 1.075000e+00 0.000000e+00
2.614735e-04 1.509618e-04 2.625000e-01 1.450000e+00 1.075000e+00 0.000000e+00
7.978745e-04 2.659585e-04 2.625000e-01 1.550000e+00 1.075000e+00 0.000000e+00
5.446949e-04 2.223710e-04 2.625000e-01 1.650000e+00 1.075000e+00 0.000000e+00
1.116367e-03 3.222682e-04 2.625000e-01 1.750000e+00 1.075000e+00 0.000000e+00
7.957290e-04 2.652495e-04 2.625000e-01 1.850000e+00 1.075000e+00 0.000000e+00
7.393730e-04 2.464586e-04 2.625000e-01 1.950000e+00 1.075000e+00 0.000000e+00
1.204719e-03 3.110599e-04 2.625000e-01 2.050000e+00 1.075000e+00 0.000000e+00
2.981547e-03 4.969271e-04 2.625000e-01 2.150000e+00 1.075000e+00 0.000000e+00
7.349634e-03 7.879725e-04 2.625000e-01 2.250000e+00 1.075000e+00 0.000000e+00
1.008770e-02 9.326202e-04 2.625000e-01 2.350000e+00 1.075000e+00 0.000000e+00
2.297314e-02 1.422020e-03 2.625000e-01 2.450000e+00 1.075000e+00 0.000000e+00
3.434706e-02 1.752787e-03 2.625000e-01 2.550000e+00 1.075000e+00 0.000000e+00
4.625918e-02 2.054464e-03 2.625000e-01 2.650000e+00 1.075000e+00 0.000000e+00
6.164756e-02 2.405129e-03 2.625000e-01 2.750000e+00 1.075000e+00 0.000000e+00
6.208672e-02 2.433398e-03 2.625000e-01 2.850000e+00 1.075000e+00 0.000000e+00
7.274208e-02 2.661526e-03 2.625000e-01 2.950000e+00 1.075000e+00 0.000000e+00
6.648200e-02 2.564629e-03 2.625000e-01 3.050000e+00 1.075000e+00 0.000000e+00
6.661395e-02 2.581266e-03 2.625000e-01 3.150000e+00 1.075000e+00 0.000000e+00
5.378936e-02 2.367970e-03 2.625000e-01 3.250000e+00 1.075000e+00 0.000000e+00
6.289336e-02 2.721696e-03 2.625000e-01 3.350000e+00 1.075000e+00 0.000000e+00
4.167611e-02 2.337108e-03 2.625000e-01 3.450000e+00 1.075000e+00 0.000000e+00
2.774349e-02 1.914508e-03 2.625000e-01 3.550000e+00 1.075000e+00 0.000000e+00
3.277748e-02 2.089847e-03 2.625000e-01 3.650000e+00 1.075000e+00 0.000000e+00
1.421574e-02 1.387325e-03 2.625000e-01 3.750000e+00 1.075000e+00 0.000000e+00
7.325318e-03 9.968603e-04 2.625000e-01 3.850000e+00 1.075000e+00 0.000000e+00
5.704340e-03 8.802100e-04 2.625000e-01 3.950000e+00 1.075000e+00 0.000000e+00
2.062586e-03 5.325623e-04 2.625000e-01 4.050000e+00 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.625000e-01 4.150000e+00 1.075000e+00 0.000000e+00
1.239890e-03 4.133005e-04 2.625000e-01 4.250000e+00 1.075000e+00 0.000000e+00
4.147092e-04 2.394324e-04 2.625000e-01 4.350000e+00 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.625000e-01 4.450000e+00 1.075000e+00 0.000000e+00
1.232744e-03 4.109198e-04 2.625000e-01 4.550000e+00 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.625000e-01 4.650000e+00 1.075000e+00 0.000000e+00
8.123019e-04 3.316223e-04 2.625000e-01 4.750000e+00 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.625000e-01 4.850000e+00 1.075000e+00 0.000000e+00
1.195033e-03 3.983457e-04 2.625000e-01 4.950000e+00 1.075000e+00 0.000000e+00
nan nan 2.875000e-01 5.000000e-02 1.075000e+00 0.000000e+00
nan nan 2.875000e-01 1.500000e-01 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.875000e-01 2.500000e-01 1.075000e+00 0.000000e+00
2.867092e-03 6.757858e-04 2.875000e-01 3.500000e-01 1.075000e+00 0.000000e+00
5.569074e-03 7.376525e-04 2.875000e-01 4.500000e-01 1.075000e+00 0.000000e+00
4.957598e-03 6.942095e-04 2.875000e-01 5.500000e-01 1.075000e+00 0.000000e+00
6.740766e-03 8.115018e-04 2.875000e-01 6.500000e-01 1.075000e+00 0.000000e+00
6.168002e-03 7.771061e-04 2.875000e-01 7.500000e-01 1.075000e+00 0.000000e+00
6.201101e-03 7.812741e-04 2.875000e-01 8.500000e-01 1.075000e+00 0.000000e+00
9.812980e-03 9.862531e-04 2.875000e-01 9.500000e-01 1.075000e+00 0.000000e+00
1.316344e-02 1.145743e-03 2.875000e-01 1.050000e+00 1.075000e+00 0.000000e+00
7.846192e-03 8.884154e-04 2.875000e-01 1.150000e+00 1.075000e+00 0.000000e+00
8.811841e-03 9.447429e-04 2.875000e-01 1.250000e+00 1.075000e+00 0.000000e+00
9.200600e-03 9.698417e-04 2.875000e-01 1.350000e+00 1.075000e+00 0.000000e+00
9.625510e-03 9.981264e-04 2.875000e-01 1.450000e+00 1.075000e+00 0.000000e+00
1.353815e-02 1.191982e-03 2.875000e-01 1.550000e+00 1.075000e+00 0.000000e+00
1.467908e-02 1.249575e-03 2.875000e-01 1.650000e+00 1.075000e+00 0.000000e+00
1.480937e-02 1.260671e-03 2.875000e-01 1.750000e+00 1.075000e+00 0.000000e+00
1.975730e-02 1.460515e-03 2.875000e-01 1.850000e+00 1.075000e+00 0.000000e+00
2.166292e-02 1.505695e-03 2.875000e-01 1.950000e+00 1.075000e+00 0.000000e+00
2.832580e-02 1.643649e-03 2.875000e-01 2.050000e+00 1.075000e+00 0.000000e+00
4.418840e-02 1.986144e-03 2.875000e-01 2.150000e+00 1.075000e+00 0.000000e+00
4.628954e-02 2.043759e-03 2.875000e-01 2.250000e+00 1.075000e+00 0.000000e+00
5.376861e-02 2.211768e-03 2.875000e-01 2.350000e+00 1.075000e+00 0.000000e+00
6.218188e-02 2.393409e-03 2.875000e-01 2.450000e+00 1.075000e+00 0.000000e+00
6.947742e-02 2.536985e-03 2.875000e-01 2.550000e+00 1.075000e+00 0.000000e+00
5.924023e-02 2.354617e-03 2.875000e-01 2.650000e+00 1.075000e+00 0.000000e+00
5.469254e-02 2.278882e-03 2.875000e-01 2.750000e+00 1.075000e+00 0.000000e+00
3.831737e-02 1.918291e-03 2.875000e-01 2.850000e+00 1.075000e+00 0.000000e+00
4.837022e-02 2.180724e-03 2.875000e-01 2.950000e+00 1.075000e+00 0.000000e+00
3.472645e-02 1.861557e-03 2.875000e-01 3.050000e+00 1.075000e+00 0.000000e+00
4.757500e-02 2.178334e-03 2.875000e-01 3.150000e+00 1.075000e+00 0.000000e+00
4.281644e-02 2.089255e-03 2.875000e-01 3.250000e+00 1.075000e+00 0.000000e+00
5.328499e-02 2.359527e-03 2.875000e-01 3.350000e+00 1.075000e+00 0.000000e+00
4.509238e-02 2.292204e-03 2.875000e-01 3.450000e+00 1.075000e+00 0.000000e+00
5.436737e-02 2.681777e-03 2.875000e-01 3.550000e+00 1.075000e+00 0.000000e+00
4.457262e-02 2.431670e-03 2.875000e-01 3.650000e+00 1.075000e+00 0.000000e+00
3.045364e-02 2.016871e-03 2.875000e-01 3.750000e+00 1.075000e+00 0.000000e+00
2.431868e-02 1.812627e-03 2.875000e-01 3.850000e+00 1.075000e+00 0.000000e+00
2.108245e-02 1.687969e-03 2.875000e-01 3.950000e+00 1.075000e+00 0.000000e+00
1.583232e-02 1.463716e-03 2.875000e-01 4.050000e+00 1.075000e+00 0.000000e+00
1.924645e-02 1.620865e-03 2.875000e-01 4.150000e+00 1.075000e+00 0.000000e+00
1.064684e-02 1.205531e-03 2.875000e-01 4.250000e+00 1.075000e+00 0.000000e+00
7.768239e-03 1.028942e-03 2.875000e-01 4.350000e+00 1.075000e+00 0.000000e+00
7.744034e-03 1.025737e-03 2.875000e-01 4.450000e+00 1.075000e+00 0.000000e+00
1.050940e-02 1.189969e-03 2.875000e-01 4.550000e+00 1.075000e+00 0.000000e+00
4.817872e-03 8.029907e-04 2.875000e-01 4.650000e+00 1.075000e+00 0.000000e+00
5.170808e-03 8.280022e-04 2.875000e-01 4.750000e+00 1.075000e+00 0.000000e+00
5.489614e-03 8.470786e-04 2.875000e-01 4.850000e+00 1.075000e+00 0.000000e+00
4.258035e-03 7.412337e-04 2.875000e-01 4.950000e+00 1.075000e+00 0.000000e+00
nan nan 3.125000e-01 5.000000e-02 1.075000e+00 0.000000e+00
nan nan 3.125000e-01 1.500000e-01 1.075000e+00 0.000000e+00
nan nan 3.125000e-01 2.500000e-01 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 3.125000e-01 3.500000e-01 1.075000e+00 0.000000e+00
1.626010e-03 4.693932e-04 3.125000e-01 4.500000e-01 1.075000e+00 0.000000e+00
4.166639e-03 7.253254e-04 3.125000e-01 5.500000e-01 1.075000e+00 0.000000e+00
7.174578e-03 9.503091e-04 3.125000e-01 6.500000e-01 1.075000e+00 0.000000e+00
8.610824e-03 1.036633e-03 3.125000e-01 7.500000e-01 1.075000e+00 0.000000e+00
1.271153e-02 1.258646e-03 3.125000e-01 8.500000e-01 1.075000e+00 0.000000e+00
